latitude,longitude,irradiance
-50.0,-60.0,3.6674615384615383
-48.0,-90.0,3.177307692307692
-48.0,-88.0,3.1900769230769233
-48.0,-86.0,3.1861538461538466
-48.0,-84.0,3.177769230769231
-48.0,-82.0,3.169230769230769
-48.0,-80.0,3.1383846153846156
-48.0,-78.0,3.0806923076923076
-48.0,-76.0,2.8400769230769227
-48.0,-74.0,3.447538461538462
-48.0,-72.0,4.211230769230769
-48.0,-70.0,4.19676923076923
-48.0,-68.0,4.19723076923077
-48.0,-66.0,4.179307692307693
-48.0,-64.0,4.152923076923077
-48.0,-62.0,4.057153846153847
-48.0,-60.0,3.9616153846153845
-46.0,-90.0,3.335846153846154
-46.0,-88.0,3.3311538461538457
-46.0,-86.0,3.333307692307692
-46.0,-84.0,3.3440000000000003
-46.0,-82.0,3.354923076923077
-46.0,-80.0,3.371384615384615
-46.0,-78.0,3.374307692307692
-46.0,-76.0,3.2422307692307695
-46.0,-74.0,3.1308461538461536
-46.0,-72.0,4.42476923076923
-46.0,-70.0,4.453769230769231
-46.0,-68.0,4.391
-46.0,-66.0,4.437923076923077
-46.0,-64.0,4.418230769230769
-46.0,-62.0,4.304
-46.0,-60.0,4.189076923076923
-44.0,-90.0,3.502538461538462
-44.0,-88.0,3.5173076923076922
-44.0,-86.0,3.535923076923077
-44.0,-84.0,3.5514615384615382
-44.0,-82.0,3.5626153846153845
-44.0,-80.0,3.601769230769231
-44.0,-78.0,3.6529230769230767
-44.0,-76.0,3.6779230769230766
-44.0,-74.0,3.600538461538462
-44.0,-72.0,4.293846153846153
-44.0,-70.0,4.656692307692309
-44.0,-68.0,4.635692307692309
-44.0,-66.0,4.6056923076923075
-44.0,-64.0,4.5979230769230774
-44.0,-62.0,4.518076923076922
-44.0,-60.0,4.449538461538462
-42.0,-90.0,3.7145384615384613
-42.0,-88.0,3.7443846153846154
-42.0,-86.0,3.757307692307692
-42.0,-84.0,3.767384615384615
-42.0,-82.0,3.793230769230769
-42.0,-80.0,3.8431538461538457
-42.0,-78.0,3.897076923076923
-42.0,-76.0,3.9786923076923078
-42.0,-74.0,4.008230769230769
-42.0,-72.0,4.472846153846154
-42.0,-70.0,4.929846153846154
-42.0,-68.0,4.903692307692308
-42.0,-66.0,4.795538461538462
-42.0,-64.0,4.759230769230769
-42.0,-62.0,4.63876923076923
-42.0,-60.0,4.5661538461538465
-40.0,-90.0,3.951076923076923
-40.0,-88.0,3.946538461538461
-40.0,-86.0,3.956769230769231
-40.0,-84.0,3.9926923076923075
-40.0,-82.0,4.054846153846154
-40.0,-80.0,4.0903846153846155
-40.0,-78.0,4.145538461538462
-40.0,-76.0,4.330461538461539
-40.0,-74.0,4.519230769230769
-40.0,-72.0,4.619692307692307
-40.0,-70.0,5.112846153846153
-40.0,-68.0,5.059384615384616
-40.0,-66.0,4.96253846153846
-40.0,-64.0,4.8616153846153844
-40.0,-62.0,4.726692307692308
-40.0,-60.0,4.6351538461538455
-38.0,-90.0,4.197615384615385
-38.0,-88.0,4.205076923076923
-38.0,-86.0,4.206846153846155
-38.0,-84.0,4.232461538461538
-38.0,-82.0,4.253307692307692
-38.0,-80.0,4.28076923076923
-38.0,-78.0,4.403923076923077
-38.0,-76.0,4.646692307692307
-38.0,-74.0,4.890923076923077
-38.0,-72.0,5.0661538461538465
-38.0,-70.0,5.340999999999999
-38.0,-68.0,5.143615384615385
-38.0,-66.0,5.033615384615385
-38.0,-64.0,4.921846153846154
-38.0,-62.0,4.851461538461539
-38.0,-60.0,4.749692307692307
-36.0,-90.0,4.434769230769231
-36.0,-88.0,4.441923076923077
-36.0,-86.0,4.437923076923077
-36.0,-84.0,4.436846153846154
-36.0,-82.0,4.458615384615384
-36.0,-80.0,4.503923076923077
-36.0,-78.0,4.636230769230769
-36.0,-76.0,4.902153846153846
-36.0,-74.0,5.075692307692307
-36.0,-72.0,5.249384615384616
-36.0,-70.0,5.47823076923077
-36.0,-68.0,5.283615384615385
-36.0,-66.0,5.049692307692308
-36.0,-64.0,5.000692307692307
-36.0,-62.0,4.933923076923077
-36.0,-60.0,4.811999999999999
-34.0,-90.0,4.673461538461538
-34.0,-88.0,4.667307692307692
