latitude,longitude,interpolated_irradiance
-60.0,-90.0,2.247384615384615
-60.0,-89.39393939393939,2.2451192950127288
-60.0,-88.78787878787878,2.2419826907138503
-60.0,-88.18181818181819,2.238446292244224
-60.0,-87.57575757575758,2.2349815893600957
-60.0,-86.96969696969697,2.23206007181771
-60.0,-86.36363636363636,2.2301532293733137
-60.0,-85.75757575757575,2.2297253633990564
-60.0,-85.15151515151516,2.2309613279483322
-60.0,-84.54545454545455,2.2336829657673025
-60.0,-83.93939393939394,2.237687859010221
-60.0,-83.33333333333333,2.242773589831341
-60.0,-82.72727272727272,2.248737740384914
-60.0,-82.12121212121212,2.2553778928251953
-60.0,-81.51515151515152,2.2627263534669844
-60.0,-80.9090909090909,2.270749207479282
-60.0,-80.3030303030303,2.27867813049377
-60.0,-79.6969696969697,2.285726231393622
-60.0,-79.0909090909091,2.2911066190620124
-60.0,-78.48484848484848,2.2940324023821153
-60.0,-77.87878787878788,2.293796742909352
-60.0,-77.27272727272727,2.292463788780802
-60.0,-76.66666666666667,2.2913065567284647
-60.0,-76.06060606060606,2.2904102434260283
-60.0,-75.45454545454545,2.2898600455471803
-60.0,-74.84848484848484,2.28974115976561
-60.0,-74.24242424242425,2.2901387827550046
-60.0,-73.63636363636364,2.291131114526721
-60.0,-73.03030303030303,2.2926916879664816
-60.0,-72.42424242424242,2.2947134751072986
-60.0,-71.81818181818181,2.2970873763766537
-60.0,-71.21212121212122,2.299704292202029
-60.0,-70.60606060606061,2.302455123010907
-60.0,-70.0,2.3052307692307688
-60.0,-69.39393939393939,2.309754664401159
-60.0,-68.78787878787878,2.3175572552306423
-60.0,-68.18181818181819,2.328239961900234
-60.0,-67.57575757575758,2.341404204590948
-60.0,-66.96969696969697,2.3566514034837986
-60.0,-66.36363636363636,2.3735829787598
-60.0,-65.75757575757575,2.3909123844795355
-60.0,-65.15151515151516,2.400739151362515
-60.0,-64.54545454545455,2.402715008441265
-60.0,-63.93939393939394,2.398620346771781
-60.0,-63.33333333333333,2.390235557410058
-60.0,-62.72727272727273,2.3793410314120935
-60.0,-62.121212121212125,2.367717159833882
-60.0,-61.515151515151516,2.3569447632949228
-60.0,-60.90909090909091,2.3471296913798696
-60.0,-60.3030303030303,2.3377166991595564
-60.0,-59.696969696969695,2.328147423160233
-60.0,-59.09090909090909,2.3178634999081495
-60.0,-58.484848484848484,2.3063065659295554
-60.0,-57.878787878787875,2.2929375908864547
-60.0,-57.27272727272727,2.2780628113622563
-60.0,-56.666666666666664,2.262276674092756
-60.0,-56.06060606060606,2.245965009675982
-60.0,-55.45454545454545,2.2295136487099656
-60.0,-54.848484848484844,2.2133084217927372
-60.0,-54.24242424242424,2.1977351595223267
-60.0,-53.63636363636363,2.1831613287849225
-60.0,-53.03030303030303,2.1696796171248676
-60.0,-52.42424242424242,2.157171184460676
-60.0,-51.81818181818182,2.1455117493734517
-60.0,-51.21212121212121,2.134577030444298
-60.0,-50.6060606060606,2.1242427462543185
-60.0,-50.0,2.1143846153846155
-60.0,-49.39393939393939,2.105113289476392
-60.0,-48.78787878787879,2.096820331288032
-60.0,-48.18181818181818,2.0898028260764128
-60.0,-47.57575757575758,2.084357859098413
-60.0,-46.96969696969697,2.0807825156109105
-60.0,-46.36363636363636,2.0793738808707833
-60.0,-45.75757575757576,2.080529498430951
-60.0,-45.15151515151515,2.085071133621028
-60.0,-44.54545454545455,2.092357763224023
-60.0,-43.93939393939394,2.101448026071318
-60.0,-43.33333333333333,2.1114005609942965
-60.0,-42.72727272727273,2.1212740068243403
-60.0,-42.12121212121212,2.130127002392834
-60.0,-41.515151515151516,2.1371610071046314
-60.0,-40.90909090909091,2.1426330152345914
-60.0,-40.303030303030305,2.1472731155245373
-60.0,-39.696969696969695,2.151813628307123
-60.0,-39.090909090909086,2.156986873915004
-60.0,-38.484848484848484,2.1635251726808358
-60.0,-37.878787878787875,2.172213073669856
-60.0,-37.27272727272727,2.185046789670883
-60.0,-36.666666666666664,2.2018833600057093
-60.0,-36.06060606060606,2.2215398728440774
-60.0,-35.45454545454545,2.2428334163557326
-60.0,-34.848484848484844,2.264581078710419
-60.0,-34.24242424242424,2.285599948077878
-60.0,-33.63636363636363,2.3049148872565253
-60.0,-33.03030303030303,2.3227996879430735
-60.0,-32.42424242424242,2.3395382789241284
-60.0,-31.818181818181813,2.355359902140788
-60.0,-31.21212121212121,2.370493799534152
-60.0,-30.606060606060602,2.385169213045318
-60.0,-30.0,2.399615384615385
-59.19191919191919,-90.0,2.304518878739233
-59.19191919191919,-89.39393939393939,2.3060615110440796
-59.19191919191919,-88.78787878787878,2.306001333842262
-59.19191919191919,-88.18181818181819,2.3044991457728448
-59.19191919191919,-87.57575757575758,2.302652046663609
-59.19191919191919,-86.96969696969697,2.301033806391953
-59.19191919191919,-86.36363636363636,2.3000610976975686
-59.19191919191919,-85.75757575757575,2.299987492992546
-59.19191919191919,-85.15151515151516,2.3011228144450415
-59.19191919191919,-84.54545454545455,2.303527040985335
-59.19191919191919,-83.93939393939394,2.3070795777190782
-59.19191919191919,-83.33333333333333,2.3115460542084802
-59.19191919191919,-82.72727272727272,2.3163561777809405
-59.19191919191919,-82.12121212121212,2.3208985369296578
-59.19191919191919,-81.51515151515152,2.327550134901667
-59.19191919191919,-80.9090909090909,2.3346263191864236
-59.19191919191919,-80.3030303030303,2.33990002482526
-59.19191919191919,-79.6969696969697,2.344269473747035
-59.19191919191919,-79.0909090909091,2.3474958035152325
-59.19191919191919,-78.48484848484848,2.3485270538090406
-59.19191919191919,-77.87878787878788,2.344224179189397
-59.19191919191919,-77.27272727272727,2.333439497663318
-59.19191919191919,-76.66666666666667,2.3250035679953123
-59.19191919191919,-76.06060606060606,2.3187257195532966
-59.19191919191919,-75.45454545454545,2.31289464748121
-59.19191919191919,-74.84848484848484,2.307438089723942
-59.19191919191919,-74.24242424242425,2.302760579164106
-59.19191919191919,-73.63636363636364,2.2991994082252782
-59.19191919191919,-73.03030303030303,2.295313184765419
-59.19191919191919,-72.42424242424242,2.291653025428711
-59.19191919191919,-71.81818181818181,2.288272247172194
-59.19191919191919,-71.21212121212122,2.285282686453017
-59.19191919191919,-70.60606060606061,2.283108439014169
-59.19191919191919,-70.0,2.2772360082161898
-59.19191919191919,-69.39393939393939,2.282067255488707
-59.19191919191919,-68.78787878787878,2.296226577254751
-59.19191919191919,-68.18181818181819,2.313298949677345
-59.19191919191919,-67.57575757575758,2.332596673548253
-59.19191919191919,-66.96969696969697,2.3573142008534576
-59.19191919191919,-66.36363636363636,2.386546760898708
-59.19191919191919,-65.75757575757575,2.4112020037189215
-59.19191919191919,-65.15151515151516,2.4401338075362315
-59.19191919191919,-64.54545454545455,2.453242234020869
-59.19191919191919,-63.93939393939394,2.4582451007222312
-59.19191919191919,-63.33333333333333,2.4577406728353512
-59.19191919191919,-62.72727272727273,2.4535235291380313
-59.19191919191919,-62.121212121212125,2.4456363914531973
-59.19191919191919,-61.515151515151516,2.4346172907397783
-59.19191919191919,-60.90909090909091,2.4238888240241043
-59.19191919191919,-60.3030303030303,2.413177531525614
-59.19191919191919,-59.696969696969695,2.40193771293228
-59.19191919191919,-59.09090909090909,2.3898686052759714
-59.19191919191919,-58.484848484848484,2.376121275596828
-59.19191919191919,-57.878787878787875,2.360334259723174
-59.19191919191919,-57.27272727272727,2.3466275536562513
-59.19191919191919,-56.666666666666664,2.3309378894896047
-59.19191919191919,-56.06060606060606,2.3152718646463777
-59.19191919191919,-55.45454545454545,2.2992774245498424
-59.19191919191919,-54.848484848484844,2.2832718981034086
-59.19191919191919,-54.24242424242424,2.267733823042804
-59.19191919191919,-53.63636363636363,2.253075330446602
-59.19191919191919,-53.03030303030303,2.2390100703206692
-59.19191919191919,-52.42424242424242,2.2257618157832333
-59.19191919191919,-51.81818181818182,2.2132797045435
-59.19191919191919,-51.21212121212121,2.2015732861831347
-59.19191919191919,-50.6060606060606,2.190868663216707
-59.19191919191919,-50.0,2.178336849424174
-59.19191919191919,-49.39393939393939,2.1709286230188765
-59.19191919191919,-48.78787878787879,2.1612962995334666
-59.19191919191919,-48.18181818181818,2.1528044022734707
-59.19191919191919,-47.57575757575758,2.1457850233178797
-59.19191919191919,-46.96969696969697,2.1404372110148673
-59.19191919191919,-46.36363636363636,2.1371865142907094
-59.19191919191919,-45.75757575757576,2.1363396032778095
-59.19191919191919,-45.15151515151515,2.133391018763683
-59.19191919191919,-44.54545454545455,2.133052506324865
-59.19191919191919,-43.93939393939394,2.1369458023548473
-59.19191919191919,-43.33333333333333,2.142382212529716
-59.19191919191919,-42.72727272727273,2.1483617168208053
-59.19191919191919,-42.12121212121212,2.153243761653622
-59.19191919191919,-41.515151515151516,2.1551558079055235
-59.19191919191919,-40.90909090909091,2.1552060812049865
-59.19191919191919,-40.303030303030305,2.1548515642474952
-59.19191919191919,-39.696969696969695,2.1548856733377475
-59.19191919191919,-39.090909090909086,2.1568336241413735
-59.19191919191919,-38.484848484848484,2.161589988969136
-59.19191919191919,-37.878787878787875,2.1639977523275657
-59.19191919191919,-37.27272727272727,2.174037996989203
-59.19191919191919,-36.666666666666664,2.1894488065694
-59.19191919191919,-36.06060606060606,2.206911139129322
-59.19191919191919,-35.45454545454545,2.2252869941764746
-59.19191919191919,-34.848484848484844,2.2452850373131503
-59.19191919191919,-34.24242424242424,2.2639499579627302
-59.19191919191919,-33.63636363636363,2.2823132970065054
-59.19191919191919,-33.03030303030303,2.298689898236236
-59.19191919191919,-32.42424242424242,2.311992373029583
-59.19191919191919,-31.818181818181813,2.3251327845217684
-59.19191919191919,-31.21212121212121,2.3374349750582875
-59.19191919191919,-30.606060606060602,2.3491735182208844
-59.19191919191919,-30.0,2.361504990409008
-58.38383838383838,-90.0,2.3609274431015885
-58.38383838383838,-89.39393939393939,2.3647775304655165
-58.38383838383838,-88.78787878787878,2.3686264388622282
